id,title,provider,category,difficulty,skills_covered,duration
24,Financial Accounting Fundamentals,Coursera,Business,Beginner,"Bookkeeping,Ledgers,Tax",3 months
25,ICAN Professional Exams (Skill Level),ICAN Nigeria,Business,Advanced,"Financial Reporting,Audit,Management Accounting",6 months
26,ANAN Professional Diploma in Accounting,ANAN Nigeria,Business,Advanced,"Public Sector Accounting,Treasury Management",12 months
27,CIPM Professional Certification (HR),CIPM Nigeria,Business,Advanced,"Human Resources,Labor Laws",8 months
28,Chartered Institute of Bankers (CIBN) Prep,CIBN Nigeria,Business,Advanced,"Banking Laws,Finance Management,Ethics",10 months
29,Small Business Management for Entrepreneurs,Udemy,Business,Beginner,"Marketing,Strategy,Fundraising",2 months
30,NIPR Public Relations Certification,NIPR Nigeria,Business,Intermediate,"Public Relations,Media Management",4 months
31,Auditing & Assurance Specialization,Coursera,Business,Intermediate,"Auditing,Internal Controls",4 months
32,Supply Chain Management Specialization,Coursera,Business,Beginner,"Logistics,Procurement,Operations",5 months
33,AutoCAD for Architects and Engineers,Udemy,Engineering,Beginner,"Drafting,CAD,2D/3D Design",4 months
34,Structural Engineering Basics,Coursera,Engineering,Intermediate,"Statics,Building Materials,Structural Design",5 months
35,COREN Engineering Professional Review Prep,NSE Nigeria,Engineering,Advanced,"Engineering Codes,Ethics,Project Management",6 months
36,ARCON Architectural Professional Exams,ARCON Nigeria,Architecture,Advanced,"Building Design,Urban Planning,Nigeria Building Code",12 months
37,Quantity Surveying: Estimating & Costing,Udemy,Engineering,Intermediate,"Cost Management,Tendering",3 months
38,Safe Site Management (Construction),Coursera,Engineering,Beginner,"Safety,OSHA,Risk Assessment",2 months
39,Renewable Energy Systems,Coursera,Engineering,Beginner,"Solar Energy,Wind Power",3 months
40,Sustainable Agricultural Land Management,Coursera,Agriculture,Beginner,"Soil Management,Crop Rotation",3 months
41,Agribusiness Management,Coursera,Agriculture,Intermediate,"Food Supply Chain,Agriculture Economics",4 months
42,Food Tech & Security,EdX,Agriculture,Intermediate,"Food Preservation,Security Systems",3 months
43,Animal Husbandry Fundamentals,Udemy,Agriculture,Beginner,"Livestock Management,Veterinary Basics",2 months
44,Environmental Science & Sustainability,Coursera,Science,Beginner,"Climate Change,Renewables",4 months
45,Organic Farming Specialization,Udemy,Agriculture,Beginner,"Organic Methods,Soil Science",3 months
46,Graphic Design Professional Certificate,Coursera,Arts,Beginner,"Photoshop,Illustration,Layout",6 months
47,Fashion Design Core Skills,Udemy,Arts,Beginner,"Pattern Making,Sewing,Textiles",5 months
48,Mass Communication & Journalism Basics,Coursera,Media,Beginner,"Reporting,Media Ethics",3 months
49,Interior Design Fundamentals,Udemy,Arts,Intermediate,"Space Planning,Colors,Styling",4 months
50,Music Theory Specialization,Coursera,Arts,Beginner,"Harmony,Composition",3 months
51,User Experience (UX) Design,Coursera,Arts,Beginner,"UX Research,Wireframing",6 months
52,Foundations of Teaching & Learning,Coursera,Education,Beginner,"Pedagogy,Curriculum,EdTech",3 months
53,Project Management Professional (PMP),Coursera,Business,Intermediate,"Agile,Waterfall,Project Cycle",6 months
54,NIM Management Certification,NIM Nigeria,Business,Intermediate,"Nigerian Management,Leadership",4 months
55,Effective Classroom Management,Udemy,Education,Intermediate,"Instructional Design,Classroom Ethics",2 months
